title,original_price,current_price
Doraemon học tập - Thể dục dụng cụ (2019),"30,000₫","27,000₫"
Doraemon học tập - Các dạng toán nâng cao ...,"30,000₫","27,000₫"
Doraemon Plus - Tập 5 (2021),"18,000₫","16,200₫"
Doraemon phiên bản điện ảnh màu - Nobita v...,"50,000₫","45,000₫"
Doraemon tranh truyện màu - Nobita và cuộc...,"25,000₫","22,500₫"
Đội quân Doraemon đặc biệt - Tập 12 (2021),"18,000₫","16,200₫"
Doraemon tranh truyện màu - Đội quân Dorae...,"25,000₫","22,500₫"
Doraemon học tập - Những trò chơi em yêu t...,"30,000₫","27,000₫"
Doraemon học tập - Điền Kinh (2019),"30,000₫","27,000₫"
Doraemon học tập - Diện tích - Thể tích (2...,"30,000₫","27,000₫"
Đội quân Doraemon - Tập 4 (2020),"18,000₫","16,200₫"
Doraemon phiên bản điện ảnh màu - Nobita v...,"50,000₫","45,000₫"
Doraemon bóng chày - Truyền kì về bóng chà...,"18,000₫","16,200₫"
Doraemon bóng chày - Truyền kì về bóng chà...,"18,000₫","16,200₫"
Doraemon bóng chày - Truyền kì về bóng chà...,"18,000₫","16,200₫"
Fujiko F Fujio Đại tuyển tập - Doraemon Tr...,"145,000₫","130,500₫"
Đội quân Doraemon đặc biệt - Tập 3 (2021),"18,000₫","16,200₫"
Tân Doraemon Bóng chày - Tập 2,"16,000₫","14,400₫"
Fujiko F Fujio Đại tuyển tập - Doraemon Tr...,"145,000₫","130,500₫"
Doraemon tranh truyện nhi đồng - Chú khủng...,"25,000₫","22,500₫"
Doraemon - Đội thám hiểm tại sao - Tập 1 (...,"20,000₫","18,000₫"
Doraemon - Đội thám hiểm tại sao - Tập 2 (...,"20,000₫","18,000₫"
Doraemon - Nobita và những hiệp sĩ không g...,"28,000₫","25,200₫"
Doraemon hoạt hình màu - Tập 1 (2020),"35,000₫","31,500₫"
Doraemon tuyển tập tranh truyện màu kĩ thu...,"25,000₫","22,500₫"
Doraemon tuyển tập tranh truyện màu kĩ thu...,"25,000₫","22,500₫"
Doraemon tuyển tập tranh truyện màu kĩ thu...,"25,000₫","22,500₫"
Doraemon đố vui – Doraemon những cuộc phiê...,"30,000₫","27,000₫"
Doraemon bảo bối - Tập 2 (2021),"30,000₫","27,000₫"
Doraemon phiên bản điện ảnh màu - Nobita t...,"50,000₫","45,000₫"
Doraemon tranh truyện màu - Đội quân Dorae...,"25,000₫","22,500₫"
Doraemon - Ngôi nhà nhỏ trên núi băng to,"39,000₫","35,100₫"
Doraemon - Nobita và cuộc đại thủy chiến ở...,"28,000₫","25,200₫"
