title,original_price,current_price
Doraemon truyện dài - Tập 6 - Nobita và cu...,"22,000₫","19,800₫"
Doraemon truyện dài - Tập 5 - Nobita và ch...,"22,000₫","19,800₫"
Doraemon truyện dài - Tập 3 - Nobita thám ...,"22,000₫","19,800₫"
Đội quân Doraemon đặc biệt - Tập 2 (2022),"18,000₫","16,200₫"
Doraemon bóng chày - Truyền kì về bóng chà...,"18,000₫","16,200₫"
Doraemon Plus - Tập 6 (2022),"18,000₫","16,200₫"
Tớ rất yêu Doraemon,"128,000₫","115,200₫"
Doraemon đố vui - Tập 4 (2022),"30,000₫","27,000₫"
Doraemon đố vui - Tập 2 (2022),"30,000₫","27,000₫"
Doraemon bóng chày - Truyền kì về bóng chà...,"18,000₫","16,200₫"
Doraemon bóng chày - Truyền kì về bóng chà...,"18,000₫","16,200₫"
Doraemon tuyển tập theo chủ đề - Tập 3 - T...,"35,000₫","31,500₫"
Doraemon bóng chày - Truyền kì về bóng chà...,"18,000₫","16,200₫"
Doraemon bóng chày - Truyền kì về bóng chà...,"18,000₫","16,200₫"
Đội quân Doraemon - Tập 5 (2022),"22,000₫","19,800₫"
Đội quân Doraemon đặc biệt - Trường học Ro...,"22,000₫","19,800₫"
Đội quân Doraemon đặc biệt - Trường học Ro...,"22,000₫","19,800₫"
Đội quân Doraemon đặc biệt - Tập 9 (2022),"18,000₫","16,200₫"
Doraemon tuyển tập tranh truyện màu - Tập ...,"40,000₫","36,000₫"
Doraemon bóng chày - Truyền kì về bóng chà...,"18,000₫","16,200₫"
Đội quân Doraemon - Tập 6 (2022),"22,000₫","19,800₫"
Đội quân Doraemon - Tập 4 (2022),"22,000₫","19,800₫"
Đội quân Doraemon - Tập 3 (2022),"22,000₫","19,800₫"
Đội quân Doraemon - Tập 2 (2022),"22,000₫","19,800₫"
Đội quân Doraemon - Tập 1 (2022),"22,000₫","19,800₫"
Doraemon - Nobita và cuộc đại thủy chiến ở...,"30,000₫","27,000₫"
Doraemon - Nobita và người khổng lồ xanh (...,"30,000₫","27,000₫"
Doraemon bóng chày - Truyền kì về bóng chà...,"18,000₫","16,200₫"
Doraemon bóng chày - Truyền kì về bóng chà...,"18,000₫","16,200₫"
Doraemon hoạt hình màu - Tập 2,"35,000₫","31,500₫"
Doraemon hoạt hình màu - Tập 1,"35,000₫","31,500₫"
Doraemon tuyển tập tranh truyện màu kĩ thu...,"25,000₫","22,500₫"
Doraemon tuyển tập tranh truyện màu kĩ thu...,"25,000₫","22,500₫"
Doraemon Movie Story - Tân Nobita và chuyế...,"30,000₫","27,000₫"
Doraemon Movie Story - Nobita và viện bảo ...,"30,000₫","27,000₫"
Doraemon Movie Story - Nobita và hòn đảo d...,"30,000₫","27,000₫"
45 chương mở đầu bộ truyện ngắn Doraemon -...,"40,000₫","36,000₫"
45 chương mở đầu bộ truyện ngắn Doraemon -...,"40,000₫","36,000₫"
Đội quân Doraemon đặc biệt - Tập 6 (2022),"18,000₫","16,200₫"
Doraemon bóng chày - Truyền kì về bóng chà...,"18,000₫","16,200₫"
Doraemon bóng chày - Truyền kì về bóng chà...,"18,000₫","16,200₫"
Doraemon bóng chày - Truyền kì về bóng chà...,"18,000₫","16,200₫"
Doraemon truyện ngắn - Tập 37 (2022),"18,000₫","16,200₫"
Doraemon truyện ngắn - Tập 35 (2022),"18,000₫","16,200₫"
Doraemon truyện ngắn - Tập 45 (2022),"18,000₫","16,200₫"
Doraemon truyện ngắn - Tập 19 (2022),"18,000₫","16,200₫"
Doraemon truyện ngắn - Tập 18 (2022),"18,000₫","16,200₫"
Doraemon tuyển tập theo chủ đề - Tập 8 - T...,"35,000₫","31,500₫"
Doraemon tuyển tập theo chủ đề - Tập 7 - Đ...,"35,000₫","31,500₫"
Doraemon tuyển tập theo chủ đề - Tập 4 - T...,"35,000₫","31,500₫"
Doraemon tuyển tập tranh truyện màu - Tập ...,"40,000₫","36,000₫"
Doraemon tuyển tập tranh truyện màu - Tập ...,"40,000₫","36,000₫"
Doraemon truyện ngắn - Tập 32 (2022),"18,000₫","16,200₫"
Doraemon truyện ngắn - Tập 31 (2022),"18,000₫","16,200₫"
Doraemon truyện ngắn - Tập 28 (2022),"18,000₫","16,200₫"
Doraemon truyện ngắn - Tập 25 (2022),"18,000₫","16,200₫"
Doraemon truyện ngắn - Tập 24 (2022),"18,000₫","16,200₫"
